NOMEUC;CODUC;PROCESSO;EMPREENDIMENTO;EMPREENDEDOR;DESTINACAO;APLICACAO;ACAODEST;ACAOAPL;REUNIAO;TIPO;DATA
PARQUE NACIONAL DE CAPARAO;0000.00.0160;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;632985,65;;1;;1;O;09/08/11
RESERVA BIOLÓGICA AUGUSTO RUSCHI;0000.00.0191;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;190000;;0;;1;O;09/08/11
PARQUE ESTADUAL DO RIO DOCE;0000.31.0394;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;150000;;0;;1;O;09/08/11
RESERVA BIOLóGICA DE DUAS BOCAS;0000.32.1667;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;150000;;0;;1;O;09/08/11
ÁREA DE PROTEçãO AMBIENTAL DE SANTANA DO PARAíSO;5895.31.2548;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;10000;;0;;1;O;09/08/11
RESERVA EXTRATIVISTA VERDE PARA SEMPRE;0000.00.0260;02001.004860/2011-07;LT TUCURUI - XINGU - JURUPARI (LOTE A DO LINHAO DE TUCURUI);Linhas de Xingu Transmissora de Energia S.A;4610262,69;;1;;2;O;10/06/11
RESERVA EXTRATIVISTA RIO CAJARI;0000.00.1518;02001.004855/2011-96;LT JURUPARI - ORIXIMINA E JURUPARI - LARANJAL DO JARI - MACAPA (LOTE B DO LINHAO TUCURUI).;LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA LTDA.;4155688,06;;0;;2;O;10/06/11
ESTAÇÃO ECOLÓGICA DE URUÇUÍ-UNA;0000.00.0065;02001.007150/2011-21;LT COMPENSAÇÃO AMBIENTAL RIBEIRO GONÇALVES - BALSAS;ELETRONORTE;266608,28;;0;;4;O;12/15/11
PARQUE NACIONAL DE CAPARAO;0000.00.0160;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;480979;;;1;4;O;12/15/11
RESERVA BIOLÓGICA AUGUSTO RUSCHI;0000.00.0191;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;;190000;;1;4;O;12/15/11
PARQUE NACIONAL DA CHAPADA DAS MESAS;0000.00.0272;02001.007150/2011-21;LT COMPENSAÇÃO AMBIENTAL RIBEIRO GONÇALVES - BALSAS;ELETRONORTE;160000;;0;;4;O;12/15/11
PARQUE ESTADUAL DO RIO DOCE;0000.31.0394;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;;150000;;2;4;O;12/15/11
RESERVA BIOLóGICA DE DUAS BOCAS;0000.32.1667;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;;150000;;3;4;O;12/15/11
PARQUE ESTADUAL DE MIRADOR;0000.21.1963;02001.007150/2011-21;LT COMPENSAÇÃO AMBIENTAL RIBEIRO GONÇALVES - BALSAS;ELETRONORTE;160000;;0;;4;O;12/15/11
PARQUE NACIONAL DA CHAPADA DAS MESAS;0000.00.0272;02070.000204/2008-16;LINHA DE TRANSMISSAO 500 KV ITACAIUNAS / COLINAS;ATE III TRANSMISSORA DE ENERGIA S/A;793652,73;;1;;5;O;03/22/12
PARQUE ESTADUAL DA SERRA DOS MARTÍRIOS/ANDORINHAS;0000.15.1021;02070.000204/2008-16;LINHA DE TRANSMISSAO 500 KV ITACAIUNAS / COLINAS;ATE III TRANSMISSORA DE ENERGIA S/A;250000;;0;;5;O;03/22/12
PARQUE ESTADUAL DO CANTãO;0000.17.1487;02070.000204/2008-16;LINHA DE TRANSMISSAO 500 KV ITACAIUNAS / COLINAS;ATE III TRANSMISSORA DE ENERGIA S/A;250000;;0;;5;O;03/22/12
PARQUE NACIONAL DE ANAVILHANAS;0000.00.0049;02001.004856/2011-31;LT ORIXIMINA - SILVES - ENG. LECHUGA - MANAUS (LOTE C DO LINHAO TUCURUI).;MANAUS TRANSMISSORA DE ENERGIA S.A;2725000;;0;;6;O;05/17/12
ESTAÇÃO ECOLÓGICA DO JARI;0000.00.0067;02001.001114/2012-34;UHE Santo Antônio (Rio Jari);ECE PARTICIPAÇÕES S/A;2000000;;1;;6;O;05/17/12
PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE;0000.00.0187;02001.001114/2012-34;UHE Santo Antônio (Rio Jari);ECE PARTICIPAÇÕES S/A;1697919;;0;;6;O;05/17/12
RESERVA BIOLÓGICA DO RIO TROMBETAS;0000.00.0210;02001.004856/2011-31;LT ORIXIMINA - SILVES - ENG. LECHUGA - MANAUS (LOTE C DO LINHAO TUCURUI).;MANAUS TRANSMISSORA DE ENERGIA S.A;2758662,45;;0;;6;O;05/17/12
ÁREA DE PROTEÇÃO AMBIENTAL NHAMUNDÁ;0000.13.0997;02001.004856/2011-31;LT ORIXIMINA - SILVES - ENG. LECHUGA - MANAUS (LOTE C DO LINHAO TUCURUI).;MANAUS TRANSMISSORA DE ENERGIA S.A;300000;;0;;6;O;05/17/12
ESTAÇÃO ECOLÓGICA DO JARI;0000.00.0067;02001.001114/2012-34;UHE Santo Antônio (Rio Jari);ECE PARTICIPAÇÕES S/A;;550000;;1;7;O;07/12/12
