NOME,CATEGORIA,GRUPO,ESFERA,CRIAÇÃO,ATO LEGAL,ULTIMA ATUALIZAÇÃO,CODUC,ÓRGÃO GESTOR
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BUGIO E COMPANHIA,Reserva Particular do Patrimônio Natural,US,estadual,"2010",Outros nº 74-S de 22/02/2010,31/08/2012,0000.32.2350,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
AREA DE PROTECAO AMBIENTAL DA BACIA DO CORREGO CAPAO GRANDE,Área de Proteção Ambiental,US,municipal,"2018",Decreto nº 051/2018 de 20/09/2018,20/09/2018,1480.52.3787,Secretaria Municipal de Meio Ambiente de Nova Aurora - GO
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PILAR,Reserva Particular do Patrimônio Natural,US,estadual,"2013",Portaria nº 466 de 27/06/2013,10/07/2017,0000.33.3445,Instituto Estadual do Ambiente do Rio de Janeiro
PARQUE NACIONAL DA SERRA DA CAPIVARA,Parque,PI,federal,"1979",Decreto nº 83548 de 05/06/1979,27/09/2007,0000.00.0145,Instituto Chico Mendes de Conservação da Biodiversidade
FLORESTA ESTADUAL DO ARAGUAIA,Floresta,US,estadual,"2002",Decreto nº 5.630 de 07/08/2002,06/08/2009,0000.52.1754,Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DA CABECEIRA DO CAFÔFO,Reserva Particular do Patrimônio Natural,US,federal,"2007",Portaria nº 25 de 11/12/2007,26/08/2011,0000.00.2092,Instituto Chico Mendes de Conservação da Biodiversidade
ESTAÇÃO ECOLÓGICA ITABERÁ,Estação Ecológica,PI,estadual,"1957",Decreto nº 29881 de 12/10/1957,29/09/2017,0000.35.0821,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÀREA DE PROTEÇÃO AMBIENTAL DE TINGUÁ,Área de Proteção Ambiental,US,municipal,"2004",Lei complementar nº 3587 de 09/07/2004,28/09/2018,0350.33.1879,"Secretaria Municipal de Meio Ambiente, Agricultura, Desenvolvimento Econômico e Turismo de Nova Iguaçu - RJ"
PARQUE NACIONAL DA FURNA FEIA,Parque,PI,federal,"2012",Decreto nº S/N de 06/06/2012,22/06/2012,0000.00.2633,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE ESTADUAL DE ITAPETINGA,Parque,PI,estadual,"2010",Decreto nº 55.662 de 31/12/2010,29/09/2017,0000.35.1965,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO,Estação Ecológica,PI,federal,"2002",Decreto nº S/N de 17/07/2002,27/04/2011,0000.00.0073,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIOMôNIO NATURAL ALMIRANTE RENATO DE MIRANDA MONTEIRO,Reserva Particular do Patrimônio Natural,US,federal,"2011",Portaria nº 111 de 27/12/2011,01/08/2014,0000.00.2664,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE ESTADUAL SERRA DO SOBRADO,Parque,PI,estadual,"2010",Decreto nº 45.509 de 25/11/2010,23/09/2013,0000.31.2613,Instituto Estadual de Florestas de Minas Gerais
RESERVA EXTRATIVISTA TAQUARI,Reserva Extrativista,US,estadual,"2008",Lei ordinária nº 12810 de 21/02/2008,30/09/2015,0000.35.1686,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL DE SÃO BENTO,Área de Proteção Ambiental,US,municipal,"1997",Decreto nº 3020 de 06/06/1997,01/02/2016,0170.33.3232,"Secretaria Municipal de Meio Ambiente, Agricultura e Abastecimento de Duque de Caxias - RJ"
PARQUE ESTADUAL TUCUMÃ,Parque,PI,estadual,"2002",Decreto nº 5.439 de 12/11/2002,12/05/2010,0000.51.0456,Secretaria de Estado do Meio Ambiente de Mato Grosso
PARQUE ESTADUAL DA ILHA GRANDE,Parque,PI,estadual,"1971",Decreto nº 15.273 de 27/06/1971,24/02/2014,0000.33.1477,Instituto Estadual do Ambiente do Rio de Janeiro
REFúGIO DE VIDA SILVESTRE PADRE SéRGIO TONETTO,Refúgio de Vida Silvestre,PI,estadual,"2016",Decreto nº 1.567 de 20/06/2016,22/02/2017,0000.15.3479,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará
PARQUE ESTADUAL DO JACARAPé,Parque,PI,estadual,"2002",Decreto nº 23.836 de 27/12/2002,10/08/2012,0000.25.2334,Superintendência de Administração do Meio Ambiente da Paraíba
RESERVA PARTICULAR DO PATRIMôNIO NATURAL PARAíSO I,Reserva Particular do Patrimônio Natural,US,estadual,"2012",Portaria nº 3988 de 21/11/2012,26/11/2012,0000.29.2796,Secretaria do Meio Ambiente da Bahia
MONUMENTO NATURAL MUNICIPAL DA FLORESTA,Monumento Natural,PI,municipal,"2017",Decreto nº 5671 de 04/04/2017,27/07/2017,0220.33.3521,Secretaria Municipal do Ambiente de Itaperuna - RJ
