NOMEUC,CODUC,PROCESSO,EMPREENDIMENTO,EMPREENDEDOR,DESTINACAO,APLICACAO,ACAODEST,ACAOAPL,REUNIAO,TIPO,ANO
PARQUE NACIONAL DE CAPARAO,0000.00.0160,02001.004858/2011-20,LT Mesquita - Viana,MGE TRANSMISSÃO S.A.,"632986","0",Regularização,,"1",O,"2011"
RESERVA BIOLÓGICA AUGUSTO RUSCHI,0000.00.0191,02001.004858/2011-20,LT Mesquita - Viana,MGE TRANSMISSÃO S.A.,"190000","0",Indefinido,,"1",O,"2011"
PARQUE ESTADUAL DO RIO DOCE,0000.31.0394,02001.004858/2011-20,LT Mesquita - Viana,MGE TRANSMISSÃO S.A.,"150000","0",Indefinido,,"1",O,"2011"
RESERVA BIOLóGICA DE DUAS BOCAS,0000.32.1667,02001.004858/2011-20,LT Mesquita - Viana,MGE TRANSMISSÃO S.A.,"150000","0",Indefinido,,"1",O,"2011"
ÁREA DE PROTEçãO AMBIENTAL DE SANTANA DO PARAíSO,5895.31.2548,02001.004858/2011-20,LT Mesquita - Viana,MGE TRANSMISSÃO S.A.,"10000","0",Indefinido,,"1",O,"2011"
RESERVA EXTRATIVISTA VERDE PARA SEMPRE,0000.00.0260,02001.004860/2011-07,LT TUCURUI - XINGU - JURUPARI (LOTE A DO LINHAO DE TUCURUI),Linhas de Xingu Transmissora de Energia S.A,"4610263","0",Regularização,,"2",O,"2011"
RESERVA EXTRATIVISTA RIO CAJARI,0000.00.1518,02001.004855/2011-96,LT JURUPARI - ORIXIMINA E JURUPARI - LARANJAL DO JARI - MACAPA (LOTE B DO LINHAO TUCURUI).,LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA LTDA.,"4155688","0",Indefinido,,"2",O,"2011"
PARQUE NACIONAL DA SERRA DA CANASTRA,0000.00.0144,02001.000803/2013-11,SISTEMA DE PRODUÇÃO E ESCOAMENTO DE PETRÓLEO E GÁS NATURAL DE TUPI,PETROBRAS,"0","6370068",,Regularização,"2",E,"2013"
PARQUE NACIONAL DO JURUENA,0000.00.0281,02001.004860/2012-80,UHE TELES PIRES,COMPANHIA HIDRELÉTRICA TELES PIRES SA,"0","4279880",,Regularização,"2",E,"2013"
PARQUE NACIONAL DO RIO NOVO,0000.00.0264,02001.004860/2012-80,UHE TELES PIRES,COMPANHIA HIDRELÉTRICA TELES PIRES SA,"0","3600000",,Regularização,"2",E,"2013"
PARQUE NACIONAL DO ITATIAIA,0000.00.0184,02001.005417/2007-69,GASODUTO CARAGUATATUBA TAUBATÉ,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,"0","3500000",,Regularização,"2",E,"2013"
